fact;length;processed_at
According to Hebrew legend, Noah prayed to God for help protecting all the food he stored on the ark from being eaten by rats. In reply, God made the lion sneeze, and out popped a cat.;184;2025-06-29 20:40:10
A cat’s hearing is better than a dog’s. And a cat can hear high-frequency sounds up to two octaves higher than a human.;119;2025-06-29 20:40:10
A cat can travel at a top speed of approximately 31 mph (49 km) over a short distance.;86;2025-06-29 20:40:11
A cat rubs against people not only to be affectionate but also to mark out its territory with scent glands around its face. The tail area and paws also carry the cat’s scent.;174;2025-06-29 20:40:11
Researchers are unsure exactly how a cat purrs. Most veterinarians believe that a cat purrs by vibrating vocal folds deep in the throat. To do this, a muscle in the larynx opens and closes the air passage about 25 times per second.;231;2025-06-29 20:40:11
When a family cat died in ancient Egypt, family members would mourn by shaving off their eyebrows. They also held elaborate funerals during which they drank wine and beat their breasts. The cat was embalmed with a sculpted wooden mask and the tiny mummy was placed in the family tomb or in a pet cemetery with tiny mummies of mice.;331;2025-06-29 20:40:11
In 1888, more than 300,000 mummified cats were found an Egyptian cemetery. They were stripped of their wrappings and carted off to be used by farmers in England and the U.S. for fertilizer.;189;2025-06-29 20:40:11
Most cats give birth to a litter of between one and nine kittens. The largest known litter ever produced was 19 kittens, of which 15 survived.;142;2025-06-29 20:40:11
Smuggling a cat out of ancient Egypt was punishable by death. Phoenician traders eventually succeeded in smuggling felines, which they sold to rich people in Athens and other important cities.;192;2025-06-29 20:40:11
The earliest ancestor of the modern cat lived about 30 million years ago. Scientists called it the Proailurus, which means “first cat” in Greek. The group of animals that pet cats belong to emerged around 12 million years ago.;226;2025-06-29 20:40:11
The biggest wildcat today is the Siberian Tiger. It can be more than 12 feet (3.6 m) long (about the size of a small car) and weigh up to 700 pounds (317 kg).;158;2025-06-29 20:40:11
"Cats have 300 million neurons; dogs have about 160 million";58;2025-06-29 20:40:11
A cat’s brain is biologically more similar to a human brain than it is to a dog’s. Both humans and cats have identical regions in their brains that are responsible for emotions.;177;2025-06-29 20:40:11
Many Egyptians worshipped the goddess Bast, who had a woman’s body and a cat’s head.;84;2025-06-29 20:40:11
Mohammed loved cats and reportedly his favorite cat, Muezza, was a tabby. Legend says that tabby cats have an “M” for Mohammed on top of their heads because Mohammad would often rest his hand on the cat’s head.;210;2025-06-29 20:40:11
While many parts of Europe and North America consider the black cat a sign of bad luck, in Britain and Australia, black cats are considered lucky.;146;2025-06-29 20:40:11
The most popular pedigreed cat is the Persian cat, followed by the Main Coon cat and the Siamese cat.;101;2025-06-29 20:40:11
The smallest pedigreed cat is a Singapura, which can weigh just 4 lbs (1.8 kg), or about five large cans of cat food. The largest pedigreed cats are Maine Coon cats, which can weigh 25 lbs (11.3 kg), or nearly twice as much as an average cat weighs.;249;2025-06-29 20:40:11
Some cats have survived falls of over 65 feet (20 meters), due largely to their “righting reflex.” The eyes and balance organs in the inner ear tell it where it is in space so the cat can land on its feet. Even cats without a tail have this ability.;249;2025-06-29 20:40:11
Some Siamese cats appear cross-eyed because the nerves from the left side of the brain go to mostly the right eye and the nerves from the right side of the brain go mostly to the left eye. This causes some double vision, which the cat tries to correct by “crossing” its eyes.;275;2025-06-29 20:40:11
Researchers believe the word “tabby” comes from Attabiyah, a neighborhood in Baghdad, Iraq. Tabbies got their name because their striped coats resembled the famous wavy patterns in the silk produced in this city.;212;2025-06-29 20:40:11
"Cats have ""nine lives"" thanks to a flexible spine and powerful leg and back muscles";83;2025-06-29 20:40:11
A cat can jump up to five times its own height in a single bound.;65;2025-06-29 20:40:11
Cats hate the water because their fur does not insulate well when it’s wet. The Turkish Van, however, is one cat that likes swimming. Bred in central Asia, its coat has a unique texture that makes it water resistant.;216;2025-06-29 20:40:11
The Egyptian Mau is probably the oldest breed of cat. In fact, the breed is so ancient that its name is the Egyptian word for “cat.”;132;2025-06-29 20:40:11
"The first commercially cloned pet was a cat named ""Little Nicky."" He cost his owner $50,000, making him one of the most expensive cats ever.";140;2025-06-29 20:40:11
A cat usually has about 12 whiskers on each side of its face.;61;2025-06-29 20:40:11
A cat’s eyesight is both better and worse than humans. It is better because cats can see in much dimmer light and they have a wider peripheral view. It’s worse because they don’t see color as well as humans do. Scientists believe grass appears red to cats.;256;2025-06-29 20:40:11
Spanish-Jewish folklore recounts that Adam’s first wife, Lilith, became a black vampire cat, sucking the blood from sleeping babies. This may be the root of the superstition that a cat will smother a sleeping baby or suck out the child’s breath.;245;2025-06-29 20:40:11
Perhaps the most famous comic cat is the Cheshire Cat in Lewis Carroll’s Alice in Wonderland. With the ability to disappear, this mysterious character embodies the magic and sorcery historically associated with cats.;216;2025-06-29 20:40:11
The smallest wildcat today is the Black-footed cat. The females are less than 20 inches (50 cm) long and can weigh as little as 2.5 lbs (1.2 kg).;145;2025-06-29 20:40:11
On average, cats spend 2/3 of every day sleeping. That means a nine-year-old cat has been awake for only three years of its life.;129;2025-06-29 20:40:11
In the original Italian version of Cinderella, the benevolent fairy godmother figure was a cat.;95;2025-06-29 20:40:12
The little tufts of hair in a cat’s ear that help keep out dirt direct sounds into the ear, and insulate the ears are called “ear furnishings.”;143;2025-06-29 20:40:12
The ability of a cat to find its way home is called “psi-traveling.” Experts think cats either use the angle of the sunlight to find their way or that cats have magnetized cells in their brains that act as compasses.;216;2025-06-29 20:40:12
Isaac Newton invented the cat flap. Newton was experimenting in a pitch-black room. Spithead, one of his cats, kept opening the door and wrecking his experiment. The cat flap kept both Newton and Spithead happy.;211;2025-06-29 20:40:12
The world’s rarest coffee, Kopi Luwak, comes from Indonesia where a wildcat known as the luwak lives. The cat eats coffee berries and the coffee beans inside pass through the stomach. The beans are harvested from the cat’s dung heaps and then cleaned and roasted. Kopi Luwak sells for about $500 for a 450 g (1 lb) bag.;319;2025-06-29 20:40:12
A cat’s jaw can’t move sideways, so a cat can’t chew large chunks of food.;74;2025-06-29 20:40:12
A cat almost never meows at another cat, mostly just humans. Cats typically will spit, purr, and hiss at other cats.;116;2025-06-29 20:40:12
Like humans, cats tend to favor one paw over another;52;2025-06-29 20:40:12
Female cats tend to be right pawed, while male cats are more often left pawed. Interestingly, while 90% of humans are right handed, the remaining 10% of lefties also tend to be male.;182;2025-06-29 20:40:12
A cat’s back is extremely flexible because it has up to 53 loosely fitting vertebrae. Humans only have 34.;106;2025-06-29 20:40:12
All cats have claws, and all except the cheetah sheath them when at rest.;73;2025-06-29 20:40:12
"Two members of the cat family are distinct from all others: the clouded leopard and the cheetah. The clouded leopard does not roar like other big cats, nor does it groom or rest like small cats. The cheetah is unique because it is a running cat; all others are leaping cats. They are leaping cats because they slowly stalk their prey and then leap on it.";354;2025-06-29 20:40:12
A cat lover is called an Ailurophilia (Greek: cat+lover).;57;2025-06-29 20:40:12
In Japan, cats are thought to have the power to turn into super spirits when they die. This may be because according to the Buddhist religion, the body of the cat is the temporary resting place of very spiritual people.i;220;2025-06-29 20:40:12
Most cats had short hair until about 100 years ago, when it became fashionable to own cats and experiment with breeding.;120;2025-06-29 20:40:12
One reason that kittens sleep so much is because a growth hormone is released only during sleep.;96;2025-06-29 20:40:12
Cats have about 130,000 hairs per square inch (20,155 hairs per square centimeter).;83;2025-06-29 20:40:12
The heaviest cat on record is Himmy, a Tabby from Queensland, Australia. He weighed nearly 47 pounds (21 kg). He died at the age of 10.;135;2025-06-29 20:40:12
The oldest cat on record was Crème Puff from Austin, Texas, who lived from 1967 to August 6, 2005, three days after her 38th birthday. A cat typically can live up to 20 years, which is equivalent to about 96 human years.;220;2025-06-29 20:40:12
The lightest cat on record is a blue point Himalayan called Tinker Toy, who weighed 1 pound, 6 ounces (616 g). Tinker Toy was 2.75 inches (7 cm) tall and 7.5 inches (19 cm) long.;178;2025-06-29 20:40:12
Approximately 1/3 of cat owners think their pets are able to read their minds.;78;2025-06-29 20:40:12
The tiniest cat on record is Mr. Pebbles, a 2-year-old cat that weighed 3 lbs (1.3 k) and was 6.1 inches (15.5 cm) high.;120;2025-06-29 20:40:12
A commemorative tower was built in Scotland for a cat named Towser, who caught nearly 30,000 mice in her lifetime.;114;2025-06-29 20:40:12
In the 1750s, Europeans introduced cats into the Americas to control pests.;75;2025-06-29 20:40:12
The first cat show was organized in 1871 in London. Cat shows later became a worldwide craze.;93;2025-06-29 20:40:12
The first cartoon cat was Felix the Cat in 1919. In 1940, Tom and Jerry starred in the first theatrical cartoon “Puss Gets the Boot.” In 1981 Andrew Lloyd Weber created the musical Cats, based on T.S. Eliot’s Old Possum’s Book of Practical Cats.;245;2025-06-29 20:40:12
The normal body temperature of a cat is between 100.5 ° and 102.5 °F. A cat is sick if its temperature goes below 100 ° or above 103 °F.;136;2025-06-29 20:40:12
A cat has 230 bones in its body. A human has 206. A cat has no collarbone, so it can fit through any opening the size of its head.;130;2025-06-29 20:40:12
"Cats control the outer ear using 32 muscles; humans use 6";57;2025-06-29 20:40:12
Cats have 32 muscles that control the outer ear (humans have only 6). A cat can independently rotate its ears 180 degrees.;122;2025-06-29 20:40:12
A cat’s nose pad is ridged with a unique pattern, just like the fingerprint of a human.;87;2025-06-29 20:40:12
If they have ample water, cats can tolerate temperatures up to 133 °F.;70;2025-06-29 20:40:12
Foods that should not be given to cats include onions, garlic, green tomatoes, raw potatoes, chocolate, grapes, and raisins. Though milk is not toxic, it can cause an upset stomach and gas. Tylenol and aspirin are extremely toxic to cats, as are many common houseplants. Feeding cats dog food or canned tuna that’s for human consumption can cause malnutrition.;360;2025-06-29 20:40:12
A 2007 Gallup poll revealed that both men and women were equally likely to own a cat.;85;2025-06-29 20:40:12
A cat’s heart beats nearly twice as fast as a human heart, at 110 to 140 beats a minute.;88;2025-06-29 20:40:12
In just seven years, a single pair of cats and their offspring could produce a staggering total of 420,000 kittens.;115;2025-06-29 20:40:12
Relative to its body size, the clouded leopard has the biggest canines of all animals’ canines. Its dagger-like teeth can be as long as 1.8 inches (4.5 cm).;156;2025-06-29 20:40:12
Cats spend nearly 1/3 of their waking hours cleaning themselves.;64;2025-06-29 20:40:12
Grown cats have 30 teeth. Kittens have about 26 temporary teeth, which they lose when they are about 6 months old.;114;2025-06-29 20:40:12
Cat paws act as tempetature regulators, shock absorbers, hunting and grooming tools, sensors, and more;102;2025-06-29 20:40:12
Cats don’t have sweat glands over their bodies like humans do. Instead, they sweat only through their paws.;107;2025-06-29 20:40:12
A cat called Dusty has the known record for the most kittens. She had more than 420 kittens in her lifetime.;108;2025-06-29 20:40:12
The largest cat breed is the Ragdoll. Male Ragdolls weigh between 12 and 20 lbs (5.4-9.0 k). Females weigh between 10 and 15 lbs (4.5-6.8 k).;141;2025-06-29 20:40:12
Cats are extremely sensitive to vibrations. Cats are said to detect earthquake tremors 10 or 15 minutes before humans can.;122;2025-06-29 20:40:12
In contrast to dogs, cats have not undergone major changes during their domestication process.;94;2025-06-29 20:40:12
A female cat is called a queen or a molly.;42;2025-06-29 20:40:12
In the 1930s, two Russian biologists discovered that color change in Siamese kittens depend on their body temperature. Siamese cats carry albino genes that work only when the body temperature is above 98° F. If these kittens are left in a very warm room, their points won’t darken and they will stay a creamy white.;315;2025-06-29 20:40:12
There are up to 60 million feral cats in the United States alone.;65;2025-06-29 20:40:12
The oldest cat to give birth was Kitty who, at the age of 30, gave birth to two kittens. During her life, she gave birth to 218 kittens.;136;2025-06-29 20:40:12
The most traveled cat is Hamlet, who escaped from his carrier while on a flight. He hid for seven weeks behind a panel on the airplane. By the time he was discovered, he had traveled nearly 373,000 miles (600,000 km).;217;2025-06-29 20:40:12
Cats have supersonic hearing;28;2025-06-29 20:40:13
In Holland’s embassy in Moscow, Russia, the staff noticed that the two Siamese cats kept meowing and clawing at the walls of the building. Their owners finally investigated, thinking they would find mice. Instead, they discovered microphones hidden by Russian spies. The cats heard the microphones when they turned on.;318;2025-06-29 20:40:13
The most expensive cat was an Asian Leopard cat (ALC)-Domestic Shorthair (DSH) hybrid named Zeus. Zeus, who is 90% ALC and 10% DSH, has an asking price of £100,000 ($154,000).;175;2025-06-29 20:40:13
The cat who holds the record for the longest non-fatal fall is Andy. He fell from the 16th floor of an apartment building (about 200 ft/.06 km) and survived.;157;2025-06-29 20:40:13
The richest cat is Blackie who was left £15 million by his owner, Ben Rea.;74;2025-06-29 20:40:13
The claws on the cat’s back paws aren’t as sharp as the claws on the front paws because the claws in the back don’t retract and, consequently, become worn.;155;2025-06-29 20:40:13
"A sexually-active feral tom-cat \owns\"" an area of about three square miles and \""""sprays\"""" to mark his territory with strong smelling urine.""""""";145;2025-06-29 20:40:13
A cat can sprint at about thirty-one miles per hour.;52;2025-06-29 20:40:13
An adult lion's roar can be heard up to five miles (eight kilometers) away.;75;2025-06-29 20:40:13
A cat will tremble or shiver when it is extreme pain.;53;2025-06-29 20:40:13
A cat's normal pulse is 140-240 beats per minute, with an average of 195.;73;2025-06-29 20:40:13
Cats lose almost as much fluid in the saliva while grooming themselves as they do through urination.;100;2025-06-29 20:40:13
Tigers are excellent swimmers and do not avoid water.;53;2025-06-29 20:40:13
The leopard is the most widespread of all big cats.;51;2025-06-29 20:40:13
While many cats enjoy milk, it will give some cats diarrhea.;60;2025-06-29 20:40:13
Female cats are polyestrous;27;2025-06-29 20:40:13
A cat will tremble or shiver when it is in extreme pain.;56;2025-06-29 20:40:13
The cat appears to be the only domestic companion animal not mentioned in the Bible.;84;2025-06-29 20:40:13
Some common houseplants poisonous to cats include: English Ivy, iris, mistletoe, philodendron, and yew.;103;2025-06-29 20:40:13
Some notable people who disliked cats:  Napoleon Bonaparte, Dwight D. Eisenhower, Hitler.;89;2025-06-29 20:40:13
Cats step with both left legs, then both right legs when they walk or run.;74;2025-06-29 20:40:13
A domestic cat can run at speeds of 30 mph.;43;2025-06-29 20:40:13
The domestic cat is the only species able to hold its tail vertically while walking. You can also learn about your cat's present state of mind by observing the posture of his tail.;180;2025-06-29 20:40:13
Cats lap liquid from the underside of their tongue, not from the top.;69;2025-06-29 20:40:13
Cats take between 20-40 breaths per minute.;43;2025-06-29 20:40:13
The Maine Coone is the only native American long haired breed.;62;2025-06-29 20:40:13
Statistics indicate that animal lovers in recent years have shown a preference for cats over dogs!;98;2025-06-29 20:40:13
It has been scientifically proven that owning cats is good for our health and can decrease the occurrence of high blood pressure and other illnesses.;149;2025-06-29 20:40:13
Cats have been domesticated for half as long as dogs have been.;63;2025-06-29 20:40:13
The largest breed of cat is the Ragdoll with males weighing in at 1 5 to 20 lbs. The heaviest domestic cat on record was a neutered male tabby named Himmy from Queensland, Australia who weighed 46 lbs. 1 5 oz.;209;2025-06-29 20:40:13
"The first formal cat show was held in England in 1871; in America, in 1895.";75;2025-06-29 20:40:13
The average litter of kittens is between 2 - 6 kittens.;55;2025-06-29 20:40:13
In one stride, a cheetah can cover 23 to 26 feet (7 to 8 meters).;65;2025-06-29 20:40:13
Cats are now Britain's favourite pet: there are 7.7 million cats as opposed to 6.6 million dogs.;96;2025-06-29 20:40:13
A cat sees about 6 times better than a human at night, and needs 1/6 the amount of of light that a human does - it has a layer of extra reflecting cells which absorb light.;172;2025-06-29 20:40:13
The cat's tail is used to maintain balance.;43;2025-06-29 20:40:13
A cat's brain is more similar to a man's brain than that of a dog.;66;2025-06-29 20:40:13
According to a Gallup poll, most American pet owners obtain their cats by adopting strays.;90;2025-06-29 20:40:13
A cat's normal temperature varies around 101 degrees Fahrenheit.;64;2025-06-29 20:40:13
Cats respond better to women than to men, probably due to the fact that women's voices have a higher pitch.;107;2025-06-29 20:40:13
It may take as long as 2 weeks for a kitten to be able to hear well.  Their eyes usually open between 7 and 10 days, but sometimes it happens in as little as 2 days.;165;2025-06-29 20:40:14
A form of AIDS exists in cats.;30;2025-06-29 20:40:14
The cheetah is the world's fastest land mammal. It can run at speeds of up to 70 miles an hour (113 kilometers an hour).;120;2025-06-29 20:40:14
Tabby cats are thought to get their name from Attab, a district in Baghdad, now the capital of Iraq.;100;2025-06-29 20:40:14
When a cats rubs up against you, the cat is marking you with it's scent claiming ownership.;91;2025-06-29 20:40:14
The average lifespan of an outdoor-only cat is about 3 to 5 years while an indoor-only cat can live 16 years or much longer.;124;2025-06-29 20:40:14
The Maine Coon cat is America's only natural breed of domestic feline. It is 4 to 5 times larger than the Singapura, the smallest breed of cat.;143;2025-06-29 20:40:14
In 1987 cats overtook dogs as the number one pet in America.;60;2025-06-29 20:40:14
A cat can jump 5 times as high as it is tall.;45;2025-06-29 20:40:14
Since cats are so good at hiding illness, even a single instance of a symptom should be taken very seriously.;109;2025-06-29 20:40:14
Retractable claws are a physical phenomenon that sets cats apart from the rest of the animal kingdom. I n the cat family, only cheetahs cannot retract their claws.;163;2025-06-29 20:40:14
A steady diet of dog food may cause blindness in your cat - it lacks taurine.;77;2025-06-29 20:40:14
When a domestic cat goes after mice, about 1 pounce in 3 results in a catch.;76;2025-06-29 20:40:14
Cats have 30 teeth (12 incisors, 10 premolars, 4 canines, and 4 molars), while dogs have 42. Kittens have baby teeth, which are replaced by permanent teeth around the age of 7 months.;183;2025-06-29 20:40:14
Many cats love having their forehead gently stroked.;52;2025-06-29 20:40:14
A cat has two vocal chords, and can make over 100 sounds.;57;2025-06-29 20:40:14
Mountain lions are strong jumpers, thanks to muscular hind legs that are longer than their front legs.;102;2025-06-29 20:40:14
Cats bury their feces to cover their trails from predators.;59;2025-06-29 20:40:14
In an average year, cat owners in the United States spend over $2 billion on cat food.;86;2025-06-29 20:40:14
"The Ancient Egyptian word for cat was mau, which means ""to see"".";64;2025-06-29 20:40:14
"The name ""jaguar"" comes from a Native American word meaning ""he who kills with one leap"".";89;2025-06-29 20:40:14
Cats, especially older cats, do get cancer. Many times this disease can be treated successfully.;96;2025-06-29 20:40:14
There are approximately 100 breeds of cat.;42;2025-06-29 20:40:14
Like birds, cats have a homing ability that uses its biological clock, the angle of the sun, and the Earth's magnetic field. A cat taken far from its home can return to it. But if a cat's owners move far from its home, the cat can't find them.;243;2025-06-29 20:40:14
Cat's urine glows under a black light.;38;2025-06-29 20:40:14
The chlorine in fresh tap water irritates sensitive parts of the cat's nose. Let tap water sit for 24 hours before giving it to a cat.;134;2025-06-29 20:40:14
If your cat snores, or rolls over on his back to expose his belly, it means he trusts you.;90;2025-06-29 20:40:14
Cats lived with soldiers in trenches, where they killed mice during World War I.;80;2025-06-29 20:40:14
About 37% of American homes today have at least 1 cat.;54;2025-06-29 20:40:14
"The female cat reaches sexual maturity within 6 to 10 months; most veterinarians suggest spaying the female at 5 months, before her first heat period. The male cat usually reaches sexual maturity between 9 and 12 months.";220;2025-06-29 20:40:14
Kittens remain with their mother till the age of 9 weeks.;57;2025-06-29 20:40:14
Cats can predict earthquakes. We humans are not 100% sure how they do it. There are several different theories.;111;2025-06-29 20:40:14
The way you treat kittens in the early stages of it's life will render it's personality traits later in life.;109;2025-06-29 20:40:14
Cats' eyes shine in the dark because of the tapetum, a reflective layer in the eye, which acts like a mirror.;109;2025-06-29 20:40:14
"A cat's jaw has only up and down motion; it does not have any lateral, side to side motion, like dogs and humans.";113;2025-06-29 20:40:14
A tomcat (male cat) can begin mating when he is between 7 and 10 months old.;76;2025-06-29 20:40:14
Today there are about 100 distinct breeds of the domestic cat.;62;2025-06-29 20:40:14
Julius Ceasar, Henri II, Charles XI, and Napoleon were all afraid of cats.;74;2025-06-29 20:40:14
A kitten will typically weigh about 3 ounces at birth.  The typical male housecat will weigh between  7 and 9 pounds, slightly less for female housecats.;153;2025-06-29 20:40:14
Cats have the largest eyes of any mammal.;41;2025-06-29 20:40:14
Cats can judge within 3 inches the precise location of a sound being made 1 yard away.;86;2025-06-29 20:40:15
Lions are the only cats that live in groups, called prides. Every female within the pride is usually related.;109;2025-06-29 20:40:15
Cats should not be fed tuna exclusively, as it lacks taurine, an essential nutrient required for good feline health.  Make sure you have the proper Pet supplies to keep your cat happy and healthy.;196;2025-06-29 20:40:15
Most cats adore sardines.;25;2025-06-29 20:40:15
Cats with long, lean bodies are more likely to be outgoing, and more protective and vocal than those with a stocky build.;121;2025-06-29 20:40:15
The ancestor of all domestic cats is the African Wild Cat which still exists today.;83;2025-06-29 20:40:15
Cats have 32 muscles that control the outer ear (compared to human's 6 muscles each). A cat can rotate its ears independently 180 degrees, and can turn in the direction of sound 10 times faster than those of the best watchdog.;226;2025-06-29 20:40:15
The cat's front paw has 5 toes, but the back paws have 4. Some cats are born with as many as 7 front toes and extra back toes (polydactl).;138;2025-06-29 20:40:15
Long, muscular hind legs enable snow leopards to leap seven times their own body length in a single bound.;106;2025-06-29 20:40:15
Cats purr at the same frequency as an idling diesel engine, about 26 cycles per second.;87;2025-06-29 20:40:15
"A cat has more bones than a human; humans have 206, but the cat has 230 (some cites list 245 bones, and state that bones may fuse together as the cat ages).";156;2025-06-29 20:40:15
Many cats cannot properly digest cow's milk. Milk and milk products give them diarrhea.;87;2025-06-29 20:40:15
A cat's normal pulse is 140-240 beats per minute, with an average of 195.;73;2025-06-29 20:40:15
Kittens who are taken along on short, trouble-free car trips to town tend to make good passengers when they get older. They get used to the sounds and motions of traveling and make less connection between the car and the visits to the vet.;239;2025-06-29 20:40:15
All cats have three sets of long hairs that are sensitive to pressure - whiskers, eyebrows,and the hairs between their paw pads.;128;2025-06-29 20:40:15
Neutering a male cat will, in almost all cases, stop him from spraying (territorial marking), fighting with other males (at least over females), as well as lengthen his life and improve its quality.;198;2025-06-29 20:40:15
Cats have individual preferences for scratching surfaces and angles. Some are horizontal scratchers while others exercise their claws vertically.;145;2025-06-29 20:40:15
"Not every cat gets \high\"" from catnip. Whether or not a cat responds to it depends upon a recessive gene: no gene""";115;2025-06-29 20:40:15
A cat can spend five or more hours a day grooming himself.;58;2025-06-29 20:40:15
British cat owners spend roughly 550 million pounds yearly on cat food.;71;2025-06-29 20:40:15
Purring does not always indicate that a cat is happy. Cats will also purr loudly when they are distressed or in pain.;117;2025-06-29 20:40:15
It is estimated that cats can make over 60 different sounds.;60;2025-06-29 20:40:15
Heat occurs several times a year and can last anywhere from 3 to 15 days.;73;2025-06-29 20:40:15
Cats' hearing is much more sensitive than humans and dogs.;58;2025-06-29 20:40:15
Cats must have fat in their diet because they can't produce it on their own.;76;2025-06-29 20:40:15
Blue-eyed, pure white cats are frequently deaf.;47;2025-06-29 20:40:15
A female cat will be pregnant for approximately 9 weeks or between 62 and 65 days from conception to delivery.;110;2025-06-29 20:40:15
In ancient Egypt, when a family cat died, all family members would shave their eyebrows as a sign of mourning.;110;2025-06-29 20:40:15
The Amur leopard is one of the most endangered animals in the world.;68;2025-06-29 20:40:15
Cats and kittens should be acquired in pairs whenever possible as cat families interact best in pairs.;102;2025-06-29 20:40:15
On average, a cat will sleep for 16 hours a day.;48;2025-06-29 20:40:15
Cats sleep 16 to 18 hours per day. When cats are asleep, they are still alert to incoming stimuli. If you poke the tail of a sleeping cat, it will respond accordingly.;167;2025-06-29 20:40:15
A tiger's stripes are like fingerprints;39;2025-06-29 20:40:15
The life expectancy of cats has nearly doubled over the last fifty years.;73;2025-06-29 20:40:15
A cat's field of vision is about 200 degrees.;45;2025-06-29 20:40:15
Ancient Egyptian family members shaved their eyebrows in mourning when the family cat died.;91;2025-06-29 20:40:15
A healthy cat has a temperature between 38 and 39 degrees Celcius.;66;2025-06-29 20:40:15
Unlike other cats, lions have a tuft of hair at the end of their tails.;71;2025-06-29 20:40:15
Both humans and cats have identical regions in the brain responsible for emotion.;81;2025-06-29 20:40:15
Jaguars are the only big cats that don't roar.;46;2025-06-29 20:40:15
Of all the species of cats, the domestic cat is the only species able to hold its tail vertically while walking. All species of wild cats hold their tail horizontally or tucked between their legs while walking.;210;2025-06-29 20:40:15
"Edward Lear, author of \The Owl and the Pussycat\"""", is said to have had his new house in San Remo built to exactly the same specification as his previous residence, so that his much-loved tabby, Foss, would immediately feel at home.""""""";236;2025-06-29 20:40:15
Cats can be right-pawed or left-pawed.;38;2025-06-29 20:40:15
Cats do not think that they are little people. They think that we are big cats. This influences their behavior in many ways.;124;2025-06-29 20:40:15
Cats walk on their toes.;24;2025-06-29 20:40:15
The first official cat show in the UK was organised at Crystal Palace in 1871.;78;2025-06-29 20:40:15
The first cat show was in 1871 at the Crystal Palace in London.;63;2025-06-29 20:40:15
In just 7 years, one un-spayed female cat and one un-neutered male cat and their offspring can result in 420,000 kittens.;121;2025-06-29 20:40:15
When your cats rubs up against you, she is actually marking you as 'hers' with her scent. If your cat pushes his face against your head, it is a sign of acceptance and affection.;178;2025-06-29 20:40:15
Tests done by the Behavioral Department of the Musuem of Natural History conclude that while a dog's memory lasts about 5 minutes, a cat's recall can last as long as 16 hours.;175;2025-06-29 20:40:15
"The average lifespan of an outdoor-only (feral and non-feral) is about 3 years; an indoor-only cat can live 16 years and longer. Some cats have been documented to have a longevity of 34 years.";192;2025-06-29 20:40:16
A happy cat holds her tail high and steady.;43;2025-06-29 20:40:16
The cat's clavicle, or collarbone, does not connect with other bones but is buried in the muscles of the shoulder region. This lack of a functioning collarbone allows them to fit through any opening the size of their head.;222;2025-06-29 20:40:16
Cats come back to full alertness from the sleep state faster than any other creature.;85;2025-06-29 20:40:16
When a cat drinks, its tongue - which has tiny barbs on it - scoops the liquid up backwards.;92;2025-06-29 20:40:16
Cats see six times better in the dark and at night than humans.;63;2025-06-29 20:40:16
Purring does not always indicate that a cat is happy and healthy - some cats will purr loudly when they are terrified or in pain.;129;2025-06-29 20:40:16
People who are allergic to cats are actually allergic to cat saliva or to cat dander. If the resident cat is bathed regularly the allergic people tolerate it better.;165;2025-06-29 20:40:16
